R#,PLAYER,ADP,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
37,Zach Edey,73.8,C,MEM,65,25.8,0.619(5.3/8.5),0.775(2.5/3.2),0.3,13.3,10.3,1.2,0.7,1.8,1.8,4.26
38,Darius Garland,63.8,PG,LAC,68,31.4,0.468(7.5/16.1),0.872(2.9/3.3),2.9,20.8,2.8,7,1.2,0.2,2.8,4.24
39,Jalen Williams,43.2,"SF,PF",OKC,68,31.2,0.484(7.8/16.0),0.805(3.4/4.3),1.5,20.4,5.2,5.3,1.5,0.6,2.1,4.14
40,Domantas Sabonis,29.9,"PF,C",SAC,70,30.7,0.581(6.7/11.5),0.749(2.8/3.8),0.7,17,12.3,5.2,0.7,0.3,2.6,4.07
41,LeBron James,39.6,"SF,PF",PHI,60,32.1,0.513(7.7/15.0),0.760(3.4/4.4),1.5,20.3,6.2,7.4,1,0.5,3,4.05
42,Derrick White,46.6,"PG,SG",BOS,75,33.8,0.416(5.7/13.6),0.871(2.1/2.4),3.1,16.5,4.5,5.1,1.1,1.2,1.7,3.99
43,Tyler Herro,66.6,"PG,SG",MIL,64,31.8,0.475(7.7/16.2),0.887(3.3/3.7),2.9,21.5,4.8,4.8,0.8,0.3,2.2,3.96
44,Jalen Brunson,22.4,PG,NY,72,34.2,0.476(9.0/18.9),0.831(5.1/6.1),2.5,25.5,3.1,6.9,0.8,0.1,2.4,3.95
45,Nickeil Alexander-Walker,60,"PG,SG",ATL,76,33,0.456(6.5/14.2),0.881(3.6/4.1),3,19.6,3.8,3.6,1.1,0.5,1.9,3.89
46,Franz Wagner,53.7,"SF,PF",ORL,64,32.5,0.468(8.4/18.0),0.852(4.7/5.5),1.6,23.2,5.6,4.3,1.2,0.4,2.1,3.83
47,LaMelo Ball,24.8,PG,MIN,65,29.2,0.431(6.9/16.0),0.866(2.7/3.1),2.9,19.4,4.5,7.1,1.3,0.2,2.8,3.67
48,Joel Embiid,50.5,C,PHI,52,29.4,0.471(7.5/15.9),0.857(6.0/7.0),1.1,22.2,7.5,3,0.5,1,2.9,3.54
49,Alperen Sengün,18.1,"PF,C",HOU,72,33.3,0.508(8.1/15.9),0.691(3.9/5.6),0.4,20.5,10,5.7,1.2,1,3,3.51
50,Kel'el Ware,72.8,C,MIL,74,27.9,0.540(5.4/10.0),0.714(1.1/1.5),1.1,13,10.5,1.1,0.9,1.4,1.1,3.44
51,Bam Adebayo,30.9,"PF,C",MIA,74,33.4,0.463(7.0/15.1),0.773(3.9/5.0),1.4,19.3,9.9,3.8,1.2,0.7,1.9,3.36
52,Paul George,81,"SF,PF",BOS,58,31.2,0.434(6.2/14.2),0.820(2.2/2.7),2.6,17.1,5.4,4.1,1.8,0.5,2.2,3.36
53,Jalen Suggs,111.1,"PG,SG",ORL,60,28.4,0.424(5.3/12.6),0.866(2.2/2.5),2.2,15.1,4,4.9,1.7,0.8,2.8,3.34
54,Brandon Miller,47.4,"SF,PF",CHA,69,31.4,0.425(7.2/16.8),0.885(2.9/3.3),3.4,20.6,4.9,3.5,1,0.7,2.6,3.34
55,Matas Buzelis,59.1,"SF,PF",CHI,75,31.3,0.460(6.2/13.5),0.795(2.4/3.1),2.4,17.2,6.4,2.1,0.8,1.7,2.1,3.3
56,Kon Knueppel,39.2,"SG,SF",CHA,74,32.3,0.475(6.6/13.9),0.862(2.5/2.9),3.5,19.2,5.5,3.5,0.7,0.2,2.1,3.1
57,OG Anunoby,65.7,"SF,PF",NY,68,33.2,0.479(6.0/12.5),0.819(2.5/3.0),2.2,16.7,4.8,2.1,1.5,0.8,1.5,3.07
58,Damian Lillard,69.7,PG,POR,50,28.2,0.438(5.8/13.2),0.882(4.4/5.0),3.1,19.1,3.5,5,0.9,0.1,2.1,3.04
59,Kristaps Porzingis,101.5,C,GS,51,26,0.468(6.0/12.8),0.823(3.9/4.7),2.1,17.9,6,2.2,0.7,1.3,1.3,3.04
60,Brandon Ingram,66.3,"SG,SF,PF",LAC,72,34.1,0.474(8.3/17.5),0.826(3.7/4.4),1.9,22.1,5.7,4.1,0.8,0.7,2.8,3.01
61,Jimmy Butler III,117.4,"SF,PF",GS,25,27.5,0.510(5.1/10.1),0.851(5.5/6.4),0.6,16.4,4.8,4.6,1.3,0.3,1.3,2.98
62,Donovan Clingan,40.5,C,POR,74,27.2,0.527(4.3/8.2),0.674(1.6/2.4),1.1,11.4,11.4,1.9,0.6,1.8,1.3,2.9
63,Cameron Boozer,58.6,PF,MEM,70,30.4,0.518(6.0/11.5),0.784(4.0/5.1),1.2,17.2,7,3.9,1.1,0.6,2.5,2.87
64,Ty Jerome,106.4,"PG,SG",MEM,60,27.4,0.479(5.9/12.3),0.874(2.5/2.9),2.2,16.4,3,5.2,1.3,0.2,1.7,2.79
65,Onyeka Okongwu,54.9,C,ATL,74,31.1,0.474(5.6/11.9),0.757(2.3/3.0),1.8,15.4,7.9,2.9,1.1,1.1,1.6,2.78
66,Michael Porter Jr.,61.8,"SF,PF",BKN,60,32,0.476(7.2/15.1),0.831(2.8/3.3),2.9,20.1,6.8,2.4,0.8,0.4,1.9,2.76
67,Ryan Rollins,75.8,"PG,SG",MIL,72,30.1,0.475(5.9/12.4),0.797(1.5/1.9),2.2,15.5,4.2,4.9,1.5,0.5,2.4,2.64
