R#,PLAYER,ADP,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
155,Darryn Peterson,98.4,SG,UTA,68,29.1,0.427(4.9/11.4),0.818(3.4/4.1),2,15.1,3.1,3,1.1,0.5,2,-0.75
156,Isaiah Stewart,114.5,"PF,C",MEM,64,23.1,0.554(3.4/6.1),0.757(1.4/1.9),0.5,8.6,5.9,1.6,0.4,1.5,1.2,-0.79
157,Santi Aldama,,PF,DAL,64,26.5,0.481(5.1/10.5),0.677(1.3/2.0),1.8,13.2,5.1,2.9,0.8,0.6,1.2,-0.8
158,Jaylin Williams,,"PF,C",OKC,68,23.1,0.428(2.8/6.5),0.790(1.1/1.4),1.8,8.5,6.2,3.2,0.6,0.8,1.2,-0.82
159,Joan Beringer,,"PF,C",MIN,69,18.4,0.664(3.9/5.8),0.703(1.5/2.2),0,9.2,5.4,0.7,0.4,1.5,0.7,-0.83
160,Isaiah Joe,,"SG,SF",DET,70,25.4,0.447(4.2/9.3),0.872(1.3/1.5),3.1,12.7,3.1,1.8,0.8,0.2,0.7,-0.84
161,Naji Marshall,118,"SG,SF,PF",DAL,72,28.1,0.506(5.4/10.7),0.777(2.5/3.2),0.8,14.1,4.7,3.1,1.1,0.1,1.6,-1.03
162,Julian Champagnie,111.4,"SF,PF",SA,75,26.5,0.426(3.7/8.6),0.870(1.3/1.5),2.4,11,5,1.5,0.8,0.5,0.9,-1.03
163,Obi Toppin,,"SF,PF",IND,60,21,0.522(4.5/8.6),0.820(1.4/1.7),1.6,12,4.6,2,0.6,0.3,1,-1.1
164,Bradley Beal,,"SG,SF",LAC,50,27.5,0.465(5.3/11.3),0.801(1.8/2.2),1.7,13.9,2.8,3,0.9,0.4,1.7,-1.21
165,Collin Sexton,117.3,"PG,SG",LAL,70,25.4,0.483(5.1/10.6),0.862(2.9/3.3),1.5,14.6,2.2,3.2,0.8,0.1,2,-1.22
166,Grayson Allen,117.1,"SG,SF",CHA,64,22,0.422(3.9/9.3),0.841(1.9/2.3),2.5,12.2,2.8,2.7,1,0.3,1.3,-1.23
167,Moussa Diabaté,109.4,C,CHA,72,25.5,0.616(3.3/5.3),0.633(1.5/2.4),0,8,8.8,1.6,0.8,0.9,1.1,-1.24
168,Herbert Jones,,"SG,SF",NO,68,29.4,0.397(3.4/8.5),0.813(1.1/1.3),1.3,9.2,3.5,2.9,1.6,0.5,1.4,-1.26
169,Yanic Konan Niederhauser,,C,LAC,50,21.4,0.641(3.3/5.1),0.759(2.4/3.2),0.1,9,6,0.6,0.3,1.5,1.2,-1.28
170,Kelly Oubre Jr.,117.1,"SF,PF",IND,64,28.2,0.468(4.7/10.0),0.759(2.0/2.6),1.2,12.6,4.8,1.5,1.3,0.4,1.2,-1.33
171,Max Christie,,"SG,SF",DAL,75,30.5,0.435(4.0/9.3),0.878(1.8/2.1),2.1,11.9,3.6,2.1,0.8,0.4,1.3,-1.37
172,Davion Mitchell,119,PG,MIA,73,30.1,0.480(3.7/7.6),0.670(0.8/1.1),1.3,9.4,2.7,6.2,1.1,0.2,1.8,-1.37
173,Dillon Brooks,114.4,"SF,PF",PHO,63,30.1,0.434(6.6/15.2),0.824(2.8/3.4),2.3,18.3,3.6,1.7,0.9,0.2,1.3,-1.37
174,Ace Bailey,118.6,"SF,PF",UTA,72,27.9,0.443(5.6/12.6),0.752(0.9/1.3),1.9,14.1,4.3,1.9,0.9,0.7,1.5,-1.4
175,Yaxel Lendeborg,116.4,PF,GS,72,23.5,0.497(2.9/5.9),0.828(2.0/2.4),1,8.8,5.1,1.9,0.6,0.7,0.6,-1.41
176,Scotty Pippen Jr.,,PG,MEM,50,20.4,0.475(3.6/7.5),0.720(1.5/2.1),1.1,9.7,3.1,4.3,1.3,0.4,1.8,-1.46
177,Jay Huff,102.3,C,IND,74,17.1,0.490(3.1/6.4),0.815(0.9/1.1),1.4,8.6,3.2,1.1,0.4,1.5,0.8,-1.46
178,Nikola Vucevic,114.1,C,ORL,64,21.2,0.493(4.5/9.1),0.815(1.0/1.2),1.1,11,6.3,2.3,0.5,0.5,1,-1.47
179,De'Anthony Melton,,"PG,SG",GS,55,22.2,0.407(4.3/10.5),0.815(1.9/2.3),1.5,11.9,3.2,2.6,1.5,0.4,1.8,-1.49
180,Max Strus,,"SF,PF",LAC,68,27.4,0.443(3.7/8.5),0.816(0.6/0.8),2.6,10.7,5,3.2,0.5,0.2,1.1,-1.5
181,Daniel Gafford,106.4,C,DAL,64,21.7,0.648(3.9/6.0),0.671(2.0/3.0),0,9.8,6.4,1.2,0.5,1.2,1.1,-1.53
182,Daniss Jenkins,,"PG,SG",DET,72,26.1,0.406(4.2/10.3),0.821(2.4/2.9),1.3,12.1,3,5,1.1,0.3,2.1,-1.61
183,Anfernee Simons,100.3,"PG,SG",PHI,67,25.7,0.431(5.4/12.6),0.901(1.7/1.9),2.6,15.1,2.3,3.3,0.6,0.1,1.5,-1.62
184,Royce O'Neale,,"SF,PF",CHA,70,24.6,0.422(3.1/7.3),0.718(0.3/0.4),2.4,8.9,4.4,2.3,0.9,0.4,1,-1.65
185,Duncan Robinson,106.6,"SG,SF",DET,76,28.4,0.447(4.5/10.0),0.800(1.0/1.2),3,12.9,2.7,2.5,0.6,0.2,1,-1.68
186,Ryan Kalkbrenner,114.3,C,CHA,68,19.2,0.753(2.9/3.8),0.717(1.1/1.5),0,6.8,4.9,0.7,0.4,1.3,0.8,-1.68
187,Jerami Grant,118.5,"SF,PF",MEM,50,26.5,0.418(4.5/10.8),0.825(3.4/4.1),2,14.4,3,1.9,0.7,0.7,1.5,-1.68
188,Luke Kornet,87.5,C,SA,68,20,0.657(2.6/4.0),0.765(1.2/1.5),0,6.4,5.8,1.8,0.5,1,0.4,-1.72
189,Jared McCain,106.9,"PG,SG",OKC,72,27.8,0.438(5.3/12.1),0.870(1.6/1.8),2.4,14.6,3.1,2.4,0.8,0.1,1.5,-1.72
190,Mark Williams,105.3,C,PHO,10,20.3,0.616(3.9/6.4),0.756(1.8/2.4),0,9.7,6.6,1.2,0.6,0.8,1,-1.74
191,Alex Caruso,98.8,"SG,SF",OKC,58,19.4,0.435(2.5/5.8),0.814(0.8/1.0),1.1,6.9,3,2.4,1.5,0.5,0.8,-1.75
192,Rui Hachimura,106.7,"SF,PF",LAC,70,30.1,0.512(4.8/9.4),0.743(1.1/1.5),1.8,12.5,4.2,1.1,0.7,0.4,0.7,-1.75
193,Kris Dunn,,"PG,SG",LAC,72,24.5,0.457(2.6/5.6),0.734(0.5/0.6),1,6.6,3.2,3.1,1.6,0.3,1.1,-1.76
194,Sam Merrill,,"SG,SF",CLE,65,25.4,0.436(3.7/8.4),0.889(0.8/0.9),2.7,10.8,2.7,2.2,0.8,0.2,0.7,-1.81
195,Mikel Brown Jr.,117.1,PG,BKN,69,28.8,0.418(4.0/9.5),0.845(3.7/4.3),1.9,13.5,2.5,3.5,0.9,0.1,2.3,-1.82
196,Darius Acuff Jr.,110.2,PG,SAC,72,29.1,0.454(5.0/10.9),0.804(3.0/3.8),1.6,14.5,1.9,5,0.6,0.2,1.4,-1.84
197,Derrick Jones Jr.,,"SF,PF",LAC,58,25.8,0.515(4.0/7.8),0.731(1.3/1.7),1.1,10.4,3.5,1,1,0.7,0.9,-1.87
198,Maxime Raynaud,119.7,C,SAC,72,23.2,0.571(4.6/8.0),0.785(1.6/2.0),0.3,11,6.6,1.2,0.5,0.5,1.1,-1.91
199,Shaedon Sharpe,117.6,"PG,SG",POR,44,26.8,0.452(6.3/13.9),0.786(2.4/3.1),1.8,16.8,3.8,2.3,0.9,0.2,2.1,-1.91
200,Scoot Henderson,,PG,POR,60,26.7,0.419(4.5/10.8),0.794(2.5/3.2),1.7,13.3,2.9,4.7,1,0.2,2.6,-1.98
